id	yearBCAD
LP112_10.TW	990
LP112_10.TW	909
LP112_11.TW	1782
LP112_11.TW	1794
LP112_11.TW	1730
LP112_12.TW	1739
LP112_12.TW	1764
LP112_12.TW	1730
LP112_13.TW	701
LP112_13.TW	635
LP112_13.TW	631
LP112_14.TW	1733
LP112_14.TW	1717
LP112_14.TW	1717
LP112_15.TW	1570
LP112_15.TW	1456
LP112_15.TW	689
LP112_16.TW	1303
LP112_16.TW	1489
LP112_16.TW	1456
LP112_9.TW	1725
LP112_9.TW	1733
LP112_9.TW	1738
LP113_1.TW	1297
LP113_1.TW	1288
LP113_1.TW	1294
LP113_10.TW	1458
LP113_10.TW	1734
LP113_10.TW	1727
LP113_11.TW	1421
LP113_11.TW	756
LP113_11.TW	1465
LP113_3.TW	1500
LP113_3.TW	824
LP113_3.TW	1012
LP113_4.TW	1240
LP113_4.TW	1319
LP113_4.TW	1285
LP113_5.TW	998
LP113_5.TW	635
LP113_5.TW	605
LP113_8.TW	1347
LP113_8.TW	1112
LP113_8.TW	871
LP113_9.TW	1767
LP113_9.TW	1723
LP113_9.TW	1751
LP114_10.TW	953
LP114_10.TW	951
LP114_10.TW	908
LP114_13.TW	715
LP114_13.TW	939
LP114_13.TW	730
LP114_15.TW	1277
LP114_15.TW	1323
LP114_15.TW	1090
LP114_2.TW	-3086
LP114_2.TW	-3040
LP114_2.TW	-2967
LP114_3.TW	1441
LP114_3.TW	1324
LP114_3.TW	1250
LP114_4.TW	1532
LP114_4.TW	1106
LP114_4.TW	1111
LP114_5.TW	1225
LP114_5.TW	1572
LP114_5.TW	1527
LP114_7.TW	1227
LP114_7.TW	1459
LP114_7.TW	1403
LP114_8.TW	1482
LP114_8.TW	1297
LP114_8.TW	1208
LP115_1.TW	1353
LP115_1.TW	1288
LP115_1.TW	1308
LP115_13.TW	1231
LP115_13.TW	1370
LP115_13.TW	1345
LP115_14.TW	1708
LP115_14.TW	795
LP115_14.TW	1326
LP115_2.TW	379
LP115_2.TW	357
LP115_2.TW	387
LP115_3.TW	1327
LP115_3.TW	1000
LP115_3.TW	1258
LP115_5.TW	1206
LP115_5.TW	1207
LP115_5.TW	1209
LP115_6.TW	1432
LP115_6.TW	1263
LP115_6.TW	1483
LP115_7.TW	1250
LP115_7.TW	1332
LP115_7.TW	1367
LP115_8.TW	1759
LP115_8.TW	1759
LP115_8.TW	1729
LP116_1.TW	1567
LP116_1.TW	1100
LP116_1.TW	1127
LP116_10.TW	1768
LP116_10.TW	1778
LP116_10.TW	1746
LP116_11.TW	-3093
LP116_11.TW	-3184
LP116_11.TW	-3075
LP116_12.TW	-3094
LP116_12.TW	-2934
LP116_12.TW	-2932
LP116_13.TW	-2954
LP116_13.TW	-3137
LP116_13.TW	-3091
LP116_14.TW	-3059
LP116_14.TW	-3245
LP116_14.TW	-3212
LP116_15.TW	-2927
LP116_15.TW	-2905
LP116_15.TW	-3223
LP116_16.TW	-2922
LP116_16.TW	-3113
LP116_16.TW	-3188
LP116_4.TW	1364
LP116_4.TW	1368
LP116_4.TW	1389
LP116_6.TW	500
LP116_6.TW	1429
LP116_6.TW	814
LP116_7.TW	1175
LP116_7.TW	1137
LP116_7.TW	1175
LP116_9.TW	1818
LP116_9.TW	1829
LP116_9.TW	1812
LP117_1.TW	1035
LP117_1.TW	1187
LP117_1.TW	1131
LP117_10.TW	1484
LP117_10.TW	1217
LP117_10.TW	1316
LP117_11.TW	1860
LP117_11.TW	1861
LP117_11.TW	1892
LP117_12.TW	1288
LP117_12.TW	1230
LP117_12.TW	1296
LP117_2.TW	1170
LP117_2.TW	1166
LP117_2.TW	1196
LP117_3.TW	1152
LP117_3.TW	1177
LP117_3.TW	1108
LP117_4.TW	623
LP117_4.TW	674
LP117_4.TW	776
LP117_6.TW	1010
LP117_6.TW	856
LP117_6.TW	1160
LP117_7.TW	1323
LP117_7.TW	1400
LP117_7.TW	1224
LP123_11.TW	1524
LP123_11.TW	1028
LP123_11.TW	1266
LP123_12.TW	989
LP123_12.TW	1085
LP123_12.TW	936
LP123_14.TW	833
LP123_14.TW	1708
LP123_14.TW	1018
LP123_16.TW	1198
LP123_16.TW	1218
LP123_16.TW	1296
LP123_2.TW	1217
LP123_2.TW	1234
LP123_2.TW	1353
LP123_4.TW	885
LP123_4.TW	673
LP123_4.TW	781
LP123_6.TW	1341
LP123_6.TW	1306
LP123_6.TW	1389
LP123_7.TW	-3045
LP123_7.TW	-2941
LP123_7.TW	-3071
LP123_8.TW	1320
LP123_8.TW	1286
LP123_8.TW	1568
LP123_9.TW	853
LP123_9.TW	772
LP123_9.TW	862
LP126_14.TW	384
LP126_14.TW	419
LP126_14.TW	492
LP127_10.TW	332
LP127_10.TW	275
LP127_10.TW	371
LP127_11.TW	463
LP127_11.TW	323
LP127_11.TW	455
LP127_12.TW	490
LP127_12.TW	415
LP127_12.TW	438
LP128_1.TW	1698
LP128_1.TW	1518
LP128_1.TW	1644
LP128_2.TW	-3171
LP128_2.TW	-3157
LP128_2.TW	-3194
LP128_3.TW	-3048
LP128_3.TW	-3109
LP128_3.TW	-3179
LP128_4.TW	-3041
LP128_4.TW	-3140
LP128_4.TW	-3239
LP129_5.TW	373
LP129_5.TW	294
LP129_5.TW	306
BB.K.10.1.AG.SG	-325
BB.K.10.1.AG.SG	-133
BB.K.10.1.AG.SG	-293
BB.K.10.2.AG.SG	-374
BB.K.10.2.AG.SG	-278
BB.K.10.2.AG.SG	-358
BB.K.11.AG.SG	-197
BB.K.11.AG.SG	-213
BB.K.11.AG.SG	-398
BB.K.12.AG.SG	-219
BB.K.12.AG.SG	-259
BB.K.12.AG.SG	-243
BB.K.14.AG.SG	-143
BB.K.14.AG.SG	-340
BB.K.14.AG.SG	-338
BB.K.15.AG.SG	-121
BB.K.15.AG.SG	-356
BB.K.15.AG.SG	-123
BB.K.1.AG.SG	-243
BB.K.1.AG.SG	-219
BB.K.1.AG.SG	-213
BB.K.6.AG.SG	-178
BB.K.6.AG.SG	-229
BB.K.6.AG.SG	-101
BB.K.9.AG.SG	-328
BB.K.9.AG.SG	-123
BB.K.9.AG.SG	-112
BB.Obj.2.AG.SG	-155
BB.Obj.2.AG.SG	-161
BB.Obj.2.AG.SG	-266
CAN.001.SG	1313
CAN.001.SG	1277
CAN.001.SG	1287
CAN.002.SG	1411
CAN.002.SG	1425
CAN.002.SG	1419
CAN.003.SG	1227
CAN.003.SG	1248
CAN.003.SG	1259
CAN.004.SG	1292
CAN.004.SG	1370
CAN.004.SG	1377
CAN.005.SG	1373
CAN.005.SG	1292
CAN.005.SG	1299
CAN.008.SG	1314
CAN.008.SG	1350
CAN.008.SG	1340
CAN.009.SG	1232
CAN.009.SG	1269
CAN.009.SG	1272
CAN.010.SG	424
CAN.010.SG	406
CAN.010.SG	374
CAN.012.SG	1242
CAN.012.SG	1220
CAN.012.SG	1193
CAN.013.SG	819
CAN.013.SG	856
CAN.013.SG	826
CAN.014.SG	287
CAN.014.SG	387
CAN.014.SG	278
CAN.017.SG	366
CAN.017.SG	498
CAN.017.SG	430
CAN.018.SG	544
CAN.018.SG	538
CAN.018.SG	543
CAN.019.SG	632
CAN.019.SG	626
CAN.019.SG	603
CAN.020.SG	1338
CAN.020.SG	1344
CAN.020.SG	1420
CAN.027.SG	959
CAN.027.SG	941
CAN.027.SG	965
CAN.028.SG	1435
CAN.028.SG	1419
CAN.028.SG	1427
CAN.030.SG	1328
CAN.030.SG	1295
CAN.030.SG	1322
CAN.031.SG	1199
CAN.031.SG	1181
CAN.031.SG	1216
CAN.034.SG	680
CAN.034.SG	686
CAN.034.SG	692
CAN.035.SG	1203
CAN.035.SG	1179
CAN.035.SG	1204
CAN.036.SG	1121
CAN.036.SG	1054
CAN.036.SG	1055
CAN.038.SG	1178
CAN.038.SG	1264
CAN.038.SG	1185
CAN.040.SG	1290
CAN.040.SG	1281
CAN.040.SG	1368
CAN.041.SG	1269
CAN.041.SG	1279
CAN.041.SG	1278
CAN.042.SG	1402
CAN.042.SG	1402
CAN.042.SG	1416
CAN.045.SG	1482
CAN.045.SG	1510
CAN.045.SG	1467
CAN.048.SG	1083
CAN.048.SG	1102
CAN.048.SG	1063
XSM-M87_merged.AG	-1160
XSM-M87_merged.AG	-1032
XSM-M87_merged.AG	-1180
05XGS-M20_merged.AG.SG	-1063
05XGS-M20_merged.AG.SG	-1055
05XGS-M20_merged.AG.SG	-1128
05XGS-M52_merged.AG.SG	-1156
05XGS-M52_merged.AG.SG	-1127
05XGS-M52_merged.AG.SG	-1175
XSM-M114-1.AG	-1118
XSM-M114-1.AG	-1062
XSM-M114-1.AG	-1188
XSM-M12-2.AG	-1182
XSM-M12-2.AG	-1069
XSM-M12-2.AG	-1150
XSM-M128-1.AG	-341
XSM-M128-1.AG	-212
XSM-M128-1.AG	-350
XSM-M134-1.AG	-1242
XSM-M134-1.AG	-1098
XSM-M134-1.AG	-1057
XSM-M17-2.AG	-1185
XSM-M17-2.AG	-1236
XSM-M17-2.AG	-1102
XSM-M49-1.AG	-1242
XSM-M49-1.AG	-1186
XSM-M49-1.AG	-1070
XSM-M85-1.AG	-1228
XSM-M85-1.AG	-1195
XSM-M85-1.AG	-1099
XSM-M86-1.AG	-1074
XSM-M86-1.AG	-1234
XSM-M86-1.AG	-1132
HUAS194B.SG	1089
HUAS194B.SG	1065
HUAS194B.SG	1488
HUAS257.SG	1231
HUAS257.SG	1449
HUAS257.SG	1352
HUAS261.SG	1240
HUAS261.SG	1331
HUAS261.SG	1247
HUAS262.SG	1382
HUAS262.SG	1198
HUAS262.SG	1427
HUAS309.SG	1399
HUAS309.SG	1061
HUAS309.SG	1053
HUAS341.SG	1236
HUAS341.SG	1044
HUAS341.SG	1169
HUAS390.SG	1247
HUAS390.SG	1328
HUAS390.SG	1496
HUAS450.SG	1093
HUAS450.SG	1110
HUAS450.SG	1418
HUAS82.SG	1419
HUAS82.SG	1381
HUAS82.SG	1405
HUAS55A.SG	1185
HUAS55A.SG	1211
HUAS55A.SG	1172
HUAS55B.SG	1198
HUAS55B.SG	1068
HUAS55B.SG	1472
HUAS57.SG	1221
HUAS57.SG	1155
HUAS57.SG	1429
HUAS581.SG	1419
HUAS581.SG	1450
HUAS581.SG	1500
HUAS59B.SG	1437
HUAS59B.SG	1128
HUAS59B.SG	1182
HUAS81.SG	1107
HUAS81.SG	1141
HUAS81.SG	1130
HUAS84.SG	1132
HUAS84.SG	1115
HUAS84.SG	1173
HUAS85.SG	1170
HUAS85.SG	1174
HUAS85.SG	1163
HUAS86.SG	1346
HUAS86.SG	1440
HUAS86.SG	1323
HUAS87.SG	1424
HUAS87.SG	1364
HUAS87.SG	1425
NE56.SG	-17552
NE56.SG	-17467
NE56.SG	-17435
BaiyangcunM10.SG	-1432
BaiyangcunM10.SG	-1644
BaiyangcunM10.SG	-1416
BaiyangcunM12_3_LowCov.AG	-1607
BaiyangcunM12_3_LowCov.AG	-1529
BaiyangcunM12_3_LowCov.AG	-1463
BaiyangcunM12_LowCov.AG	-1476
BaiyangcunM12_LowCov.AG	-1563
BaiyangcunM12_LowCov.AG	-1649
BaiyangcunM13.SG	-1545
BaiyangcunM13.SG	-1571
